tuple,j_z,j_x,k,delta_gv,delta_z_lin_num,delta_x_lin_num,ha_status,mn_status,ha_certified,mn_certified,ha_beta_z,mn_beta_x
"(10,11,21)",10,11,21,0.10228282104711034,0.10228282104711034,0.10228282104711034,gv_match,gv_match,False,False,,
"(9,10,19)",9,10,19,0.1014846427330765,0.10148464273150126,0.1014846427330765,gv_match,gv_match,False,False,,
"(8,9,17)",8,9,17,0.10050306144279103,0.10050306144123101,0.10050306144123101,gv_match,gv_match,False,False,,
"(7,8,15)",7,8,15,0.09926666805575463,0.09926666805575463,0.09926666805575463,gv_match,gv_match,False,False,,
"(6,7,13)",6,7,13,0.09766146117272045,0.09766146117120456,0.09766146117120456,gv_match,gv_match,False,False,,
"(5,6,11)",5,6,11,0.09549353849071596,0.09549353848923373,0.09549353848923373,gv_match,gv_match,False,False,,
"(10,12,22)",10,12,22,0.09549353849071596,0.09549353849071597,0.09549353848923373,gv_match,gv_match,True,True,0.12,0.15
"(9,11,20)",9,11,20,0.09409724334614428,0.0940972433446837,0.0940972433446837,gv_match,gv_match,True,True,0.12,0.15
"(4,5,9)",4,5,9,0.0924042691697475,0.0924042691697475,0.09240426916831321,gv_match,gv_match,False,False,,
"(8,10,18)",8,10,18,0.0924042691697475,0.0924042691697475,0.09240426916831321,gv_match,gv_match,True,True,0.15,0.15
"(7,9,16)",7,9,16,0.0903088863642511,0.09030888636284932,0.09030888636284932,gv_match,gv_match,True,True,0.15,0.15
"(10,13,23)",10,13,23,0.08949519892802876,0.08949519892663961,0.08949519892663961,gv_match,gv_match,False,False,,
"(3,4,7)",3,4,7,0.08764841174895352,0.08743630206036128,0.08764841174759304,positive_non_gv,gv_match,False,False,,
"(6,8,14)",6,8,14,0.08764841174895352,0.08764841174895352,0.08764841174759304,gv_match,gv_match,True,True,0.15,0.15
"(9,12,21)",9,12,21,0.08764841174895352,0.08764841174895352,0.08764841174759304,gv_match,gv_match,False,False,,
"(8,11,19)",8,11,19,0.08543693106314718,0.08543693106314718,0.08543693106182101,gv_match,gv_match,False,False,,
"(5,7,12)",5,7,12,0.08415897019536284,0.08415897019405652,0.08415897019405652,gv_match,gv_match,True,True,0.2,0.15
"(10,14,24)",10,14,24,0.08415897019536284,0.08415897019405652,0.08415897019405652,gv_match,gv_match,True,True,0.1,0.1
"(7,10,17)",7,10,17,0.08274109006822611,0.08274109006822611,0.0827410900669418,gv_match,gv_match,False,False,,
"(9,13,22)",9,13,22,0.08197231157102502,0.08197231156975265,0.08197231156975265,gv_match,gv_match,True,True,0.12,0.1
"(2,3,5)",2,3,5,0.0793826004806491,0.0,0.07938260047941692,zero,gv_match,False,False,,
"(4,6,10)",4,6,10,0.0793826004806491,0.07938260047941692,0.07938260047941692,gv_match,gv_match,True,True,0.25,0.1
"(6,9,15)",6,9,15,0.0793826004806491,0.07938260047941692,0.07938260047941692,gv_match,gv_match,False,False,,
"(8,12,20)",8,12,20,0.0793826004806491,0.07938260047941692,0.07938260047941692,gv_match,gv_match,True,True,0.12,0.1
"(10,15,25)",10,15,25,0.0793826004806491,0.0793826004806491,0.07938260047941692,gv_match,gv_match,False,False,,
"(9,14,23)",9,14,23,0.0769400330606756,0.0769400330606756,0.07694003305948133,gv_match,gv_match,False,False,,
"(7,11,18)",7,11,18,0.0762674781845478,0.0762674781845478,0.07626747818336396,gv_match,gv_match,True,True,0.15,0.1
"(5,8,13)",5,8,13,0.0750838500027452,0.07508385000157974,0.07508385000157974,gv_match,gv_match,False,False,,
"(10,16,26)",10,16,26,0.0750838500027452,0.07508385000157974,0.07508385000157974,gv_match,gv_match,True,True,0.1,0.1
"(8,13,21)",8,13,21,0.07407566449732123,0.07407566449617142,0.07407566449617142,gv_match,gv_match,False,False,,
"(3,5,8)",3,5,8,0.07244979222614903,0.0593383368445195,0.07244979222502446,positive_non_gv,gv_match,False,True,,0.12
"(6,10,16)",6,10,16,0.07244979222614903,0.07244979222614903,0.07244979222502446,gv_match,gv_match,True,True,0.15,0.1
"(9,15,24)",9,15,24,0.07244979222614903,0.07244979222614903,0.07244979222502446,gv_match,gv_match,True,True,0.1,0.1
"(10,17,27)",10,17,27,0.07119579736445347,0.07119579736334837,0.07119579736445347,gv_match,gv_match,False,False,,
"(7,12,19)",7,12,19,0.07067055221870364,0.07067055221760668,0.07067055221760668,gv_match,gv_match,False,False,,
"(4,7,11)",4,7,11,0.06938819707405813,0.06938819707298108,0.06938819707298108,gv_match,gv_match,False,False,,
"(8,14,22)",8,14,22,0.06938819707405813,0.06938819707298108,0.06938819707298108,gv_match,gv_match,True,True,0.12,0.1
"(9,16,25)",9,16,25,0.06842012092390642,0.06842012092284441,0.06842012092390642,gv_match,gv_match,False,False,,
"(5,9,14)",5,9,14,0.06766341826548503,0.06766341826548503,0.06766341826548503,gv_match,gv_match,True,True,0.15,0.1
"(10,18,28)",10,18,28,0.06766341826548503,0.06766341826548503,0.06766341826548503,gv_match,gv_match,True,True,0.08,0.1
"(6,11,17)",6,11,17,0.06655687424103801,0.06655687424000492,0.06655687424000492,gv_match,gv_match,False,False,,
"(7,13,20)",7,13,20,0.06578670635458095,0.06578670635458095,0.06578670635458095,gv_match,gv_match,True,True,0.12,0.1
"(8,15,23)",8,15,23,0.06521977941450727,0.06521977941349492,0.06521977941349492,gv_match,gv_match,False,False,,
"(9,17,26)",9,17,26,0.06478502467513714,0.06478502467513714,0.06478502467413154,gv_match,gv_match,True,True,0.1,0.1
"(10,19,29)",10,19,29,0.06444104796297465,0.06444104796197439,0.06444104796197439,gv_match,gv_match,False,False,,
"(1,2,3)",1,2,3,0.06149047007872416,0.0,0.0,zero,zero,False,False,,
"(2,4,6)",2,4,6,0.06149047007872416,0.0,0.06149047007872415,zero,gv_match,False,False,,
"(3,6,9)",3,6,9,0.06149047007872416,0.04527423232270744,0.06149047007872415,positive_non_gv,gv_match,False,False,,
"(4,8,12)",4,8,12,0.06149047007872416,0.06149047007872415,0.06149047007872415,gv_match,gv_match,True,True,0.2,0.1
"(5,10,15)",5,10,15,0.06149047007872416,0.06149047007872415,0.06149047007872415,gv_match,gv_match,False,False,,
"(6,12,18)",6,12,18,0.06149047007872416,0.0614904700777697,0.06149047007872415,gv_match,gv_match,True,True,0.15,0.1
"(7,14,21)",7,14,21,0.06149047007872416,0.0614904700777697,0.06149047007872415,gv_match,gv_match,False,False,,
"(8,16,24)",8,16,24,0.06149047007872416,0.0614904700777697,0.06149047007872415,gv_match,gv_match,True,True,0.1,0.1
"(9,18,27)",9,18,27,0.06149047007872416,0.06149047007872415,0.06149047007872415,gv_match,gv_match,False,False,,
"(10,20,30)",10,20,30,0.06149047007872416,0.06149047007872415,0.06149047007872415,gv_match,gv_match,True,True,0.08,0.1
"(9,19,28)",9,19,28,0.05849179164762763,0.05849179164671972,0.05849179164671972,gv_match,gv_match,True,True,0.08,0.1
"(8,17,25)",8,17,25,0.05813583581548737,0.058135835814584993,0.058135835814584993,gv_match,gv_match,False,False,,
"(7,15,22)",7,15,22,0.057683999830127786,0.05768399982923242,0.05768399982923242,gv_match,gv_match,True,True,0.12,0.1
"(6,13,19)",6,13,19,0.05709152089975529,0.05709152089975529,0.05709152089975529,gv_match,gv_match,False,False,,
"(5,11,16)",5,11,16,0.05628064337229072,0.05628064337141714,0.05628064337141714,gv_match,gv_match,True,True,0.15,0.1
"(9,20,29)",9,20,29,0.05575174743812533,0.055751747437259955,0.055751747437259955,gv_match,gv_match,False,False,,
"(4,9,13)",4,9,13,0.05510336719275423,0.055103367191898914,0.055103367191898914,gv_match,gv_match,False,False,,
"(8,18,26)",8,18,26,0.05510336719275423,0.055103367191898914,0.055103367191898914,gv_match,gv_match,True,True,0.1,0.1
"(7,16,23)",7,16,23,0.054289875494671624,0.054289875493828924,0.05428987549467162,gv_match,gv_match,False,False,,
"(3,7,10)",3,7,10,0.05323904077679681,0.03563685509877333,0.0532390407767968,positive_non_gv,gv_match,False,True,,0.1
"(6,14,20)",6,14,20,0.05323904077679681,0.05323904077597043,0.0532390407767968,gv_match,gv_match,True,True,0.12,0.1
"(9,21,30)",9,21,30,0.05323904077679681,0.05323904077597043,0.0532390407767968,gv_match,gv_match,True,True,0.08,0.1
"(8,19,27)",8,19,27,0.05234984668835868,0.052349846687546095,0.052349846688358674,gv_match,gv_match,False,False,,
"(5,12,17)",5,12,17,0.051829347202142884,0.051829347201338374,0.05182934720214288,gv_match,gv_match,False,False,,
"(7,17,24)",7,17,24,0.051246044064059776,0.05124604406326433,0.05124604406326433,gv_match,gv_match,True,True,0.1,0.1
"(2,5,7)",2,5,7,0.04983938538485096,0.0,0.04983938538485096,zero,gv_match,False,False,,
"(4,10,14)",4,10,14,0.04983938538485096,0.049839385384077346,0.04983938538485096,gv_match,gv_match,True,True,0.15,0.1
"(6,15,21)",6,15,21,0.04983938538485096,0.049839385384077346,0.04983938538485096,gv_match,gv_match,False,False,,
"(8,20,28)",8,20,28,0.04983938538485096,0.04983938538485096,0.04983938538485096,gv_match,gv_match,True,True,0.08,0.1
"(7,18,25)",7,18,25,0.048502196475603554,0.0485021964748507,0.0485021964748507,gv_match,gv_match,False,False,,
"(5,13,18)",5,13,18,0.047985662410584495,0.04798566240983965,0.04798566240983965,gv_match,gv_match,True,True,0.15,0.1
"(8,21,29)",8,21,29,0.04754193757652528,0.04754193757652528,0.04754193757578733,gv_match,gv_match,False,False,,
"(3,8,11)",3,8,11,0.04681896063463992,0.028759422382460598,0.04681896063391319,positive_non_gv,gv_match,False,False,,
"(6,16,22)",6,16,22,0.04681896063463992,0.046818960634639924,0.04681896063391319,gv_match,gv_match,True,True,0.12,0.1
"(7,19,26)",7,19,26,0.04601712380916928,0.04601712380845499,0.04601712380916927,gv_match,gv_match,True,True,0.1,0.1
"(4,11,15)",4,11,15,0.045432162553586175,0.045432162552880975,0.045432162552880975,gv_match,gv_match,False,False,,
"(8,22,30)",8,22,30,0.045432162553586175,0.045432162552880975,0.045432162552880975,gv_match,gv_match,True,True,0.08,0.1
"(5,14,19)",5,14,19,0.044635869204615625,0.044635869204615625,0.04463586920392278,gv_match,gv_match,False,False,,
"(6,17,23)",6,17,23,0.04411914694630199,0.04411914694630199,0.04411914694630199,gv_match,gv_match,False,False,,
"(7,20,27)",7,20,27,0.04375675670819229,0.0437567567081923,0.0437567567075131,gv_match,gv_match,False,False,,
"(1,3,4)",1,3,4,0.041692690273656685,0.0,0.0,zero,zero,False,False,,
"(2,6,8)",2,6,8,0.041692690273656685,0.0,0.04169269027365668,zero,gv_match,False,False,,
"(3,9,12)",3,9,12,0.041692690273656685,0.023686563362619192,0.04169269027365668,positive_non_gv,gv_match,False,True,,0.1
"(4,12,16)",4,12,16,0.041692690273656685,0.04169269027365668,0.04169269027365668,gv_match,gv_match,True,True,0.15,0.1
"(5,15,20)",5,15,20,0.041692690273656685,0.04169269027365668,0.04169269027365668,gv_match,gv_match,True,True,0.12,0.1
"(6,18,24)",6,18,24,0.041692690273656685,0.04169269027365668,0.04169269027365668,gv_match,gv_match,True,True,0.1,0.1
"(7,21,28)",7,21,28,0.041692690273656685,0.04169269027365668,0.04169269027365668,gv_match,gv_match,True,True,0.08,0.1
"(7,22,29)",7,22,29,0.03980105963991587,0.03980105963929807,0.03980105963929807,gv_match,gv_match,False,False,,
"(6,19,25)",6,19,25,0.039501087637980006,0.039501087637980006,0.03950108763736687,gv_match,gv_match,False,False,,
"(5,16,21)",5,16,21,0.03908805938084757,0.03908805938084757,0.03908805938084757,gv_match,gv_match,False,False,,
"(4,13,17)",4,13,17,0.03848323271777793,0.03848323271777792,0.03848323271777792,gv_match,gv_match,False,False,,
"(7,23,30)",7,23,30,0.03806167265268473,0.038061672652093925,0.038061672652684723,gv_match,gv_match,True,True,0.08,0.1
"(3,10,13)",3,10,13,0.037512661364622446,0.019840737948448973,0.037512661364040176,positive_non_gv,gv_match,False,False,,
"(6,20,26)",6,20,26,0.037512661364622446,0.037512661364040176,0.037512661364040176,gv_match,gv_match,True,True,0.1,0.1
"(5,17,22)",5,17,22,0.036768136489981146,0.036768136489981146,0.03676813648941043,gv_match,gv_match,True,True,0.12,0.1
"(2,7,9)",2,7,9,0.03570111929721295,0.0,0.0357011192966588,zero,gv_match,False,False,,
"(4,14,18)",4,14,18,0.03570111929721295,0.03570111929721295,0.0357011192966588,gv_match,gv_match,True,True,0.15,0.1
"(6,21,27)",6,21,27,0.03570111929721295,0.03570111929721295,0.0357011192966588,gv_match,gv_match,False,False,,
"(5,18,23)",5,18,23,0.034689795302884796,0.03468979530288479,0.03468979530288479,gv_match,gv_match,False,False,,
"(3,11,14)",3,11,14,0.03404446376626616,0.016857678883504586,0.03404446376573772,positive_non_gv,gv_match,False,True,,0.1
"(6,22,28)",6,22,28,0.03404446376626616,0.03404446376626616,0.03404446376573772,gv_match,gv_match,True,True,0.08,0.1
"(4,15,19)",4,15,19,0.033268308415826495,0.033268308415826495,0.0332683084153101,gv_match,gv_match,False,False,,
"(5,19,24)",5,19,24,0.03281809988341515,0.032818099882905745,0.032818099882905745,gv_match,gv_match,True,True,0.1,0.1
